ticker,name,sector,lei
GFTU,Grafton Group,Support Services,635400BE9SBAG61DJ963
GRI,Grainger,Real Estate Investment & Services,2138007CEIRKZMNI2979
GPE,Great Portland Estates,Real Estate Investment Trusts,
UKW,Greencoat UK Wind,"Gas, Water & Multiutilities",213800ZPBBK8H51RX165
GNC,Greencore,"Food, Beverage and Tobacco",635400GGBEWULJXM5868
GRG,Greggs,Food & Drug Retailers,213800I71QMUFJ64IW20
GSK,GSK plc,Pharmaceuticals & biotechnology,5493000HZTVUYLO1D793
HLN,Haleon,Pharmaceuticals & biotechnology,549300PSB3WWEODCUP19
HFD,Halfords,Retailers,54930086FKBWWJIOBI79
HLMA,Halma plc,Electronic equipment & parts,2138007FRGLUR9KGBT40
HMSO,Hammerson,Real Estate Investment Trusts,
HANA,Hansa Investment Company,Investment Trusts,
HBR,Harbour Energy,Oil & Gas Producers,213800YPC42DYBKVPF97
HVPE,HarbourVest Global Private Equity,Equity Investments,
HWG,Harworth Group,Real Estate,213800R8JSSGK2KPFG21
HAS,Hays,Support Services,213800QC8AWD4BO8TH08
HTWS,Helios Towers,Telecomms,213800DGC7GS4XCHCU30
HFEL,Henderson Far East Income,Investment Trusts,
HSL,Henderson Smaller Companies Investment Trust,Investment Trusts,
HRI,Herald Investment Trust,Investment Trusts,
HGT,Hg Capital Trust,Investment Trusts,
HICL,HICL Infrastructure Company,Investment Trusts,
HIK,Hikma Pharmaceuticals,Pharmaceuticals and Biotechnology,549300BNS685UXH4JI75
HILS,Hill & Smith,Industrial Engineering,2138003A3ISGQZBOWI83
HFG,Hilton Food Group,Food Producers,213800JY7VJFS2OOX355
HSX,Hiscox,Non-life Insurance,5493007JXOLJ0QCY2D70
HOC,Hochschild Mining,Basic Resources,549300JK10TVQ3CCJQ89
BOWL,Hollywood Bowl Group,Travel and leisure,213800XB8YZNGJYDEZ97
HWDN,Howdens Joinery,Homebuilding & construction supplies,213800KC1LJOJTY3JP45
HSBA,HSBC,Banks,MLU0ZO3ML4LN2LL2TL39
HTG,Hunting,"Oil, Gas and Coal",2138008S5FL78ITZRN66
ICG,ICG,Financial services,549300OGASR5WRKJ8R68
ICGT,ICG Enterprise Trust,Investment Trusts,
